TicketID,Description,Category
658,Login page keeps refreshing automatically,Technical Problem
659,My tracking ID shows delivered but I did not get the package,Order Status
660,How do I check my Flipkart SuperCoins balance?,General Query
661,Why am I seeing wrong bill amount in my invoice?,Billing Issue
662,Cart is not updating when I add items,Technical Problem
663,When will my shoes be shipped?,Order Status
664,Can I schedule delivery at a specific time?,General Query
665,Why was extra delivery charge added?,Billing Issue
666,Search function not working properly,Technical Problem
667,Why is my delivery date postponed?,Order Status
668,How can I become a Flipkart Plus member?,General Query
669,Refund initiated but not reflecting in my bank account,Billing Issue
670,Search function not working properly,Technical Problem
671,Estimated delivery keeps changing,Order Status
672,Do you provide installation service for appliances?,General Query
673,Refund initiated but not reflecting in my bank account,Billing Issue
674,Unable to update my profile in the app,Technical Problem
675,Why is my delivery date postponed?,Order Status
676,What are your customer care working hours?,General Query
677,Payment gateway error during checkout,Billing Issue
678,Search function not working properly,Technical Problem
679,Package is in transit for too long,Order Status
680,Do you deliver to small towns in Tamil Nadu?,General Query
681,Refund initiated but not reflecting in my bank account,Billing Issue
682,Unable to update my profile in the app,Technical Problem
683,Estimated delivery keeps changing,Order Status
684,How do I change my registered phone number?,General Query
685,Refund initiated but not reflecting in my bank account,Billing Issue
686,I cannot login with my mobile number,Technical Problem
687,Package is in transit for too long,Order Status
688,How do I change my registered phone number?,General Query
689,Cashback not credited to my wallet,Billing Issue
690,Website not loading on my laptop,Technical Problem
691,Courier details are not updating,Order Status
692,Do you provide installation service for appliances?,General Query
693,Why was extra delivery charge added?,Billing Issue
694,Cart is not updating when I add items,Technical Problem
695,My tracking ID shows delivered but I did not get the package,Order Status
696,What is Flipkart Plus membership?,General Query
697,Refund initiated but not reflecting in my bank account,Billing Issue
698,Search function not working properly,Technical Problem
699,When will my shoes be shipped?,Order Status
700,How do I check my Flipkart SuperCoins balance?,General Query
701,Why was extra delivery charge added?,Billing Issue
702,Unable to update my profile in the app,Technical Problem
703,Where is my mobile order? It is delayed,Order Status
704,What is Flipkart Plus membership?,General Query
705,Why was extra delivery charge added?,Billing Issue
706,Search function not working properly,Technical Problem
707,Package is in transit for too long,Order Status
708,Can I schedule delivery at a specific time?,General Query
709,My EMI payment failed but money was debited,Billing Issue
710,Search function not working properly,Technical Problem
711,Delivery agent marked order delivered but I did not receive it,Order Status
712,Do you provide installation service for appliances?,General Query
713,My EMI payment failed but money was debited,Billing Issue
714,Search function not working properly,Technical Problem
715,My tracking ID shows delivered but I did not get the package,Order Status
716,What is Flipkart Plus membership?,General Query
717,Transaction failed but balance deducted from my account,Billing Issue
718,The Flipkart app crashes on checkout,Technical Problem
719,Package is in transit for too long,Order Status
720,How do I check my Flipkart SuperCoins balance?,General Query
721,Payment gateway error during checkout,Billing Issue
722,Website stuck at payment page,Technical Problem
723,Estimated delivery keeps changing,Order Status
724,What are your customer care working hours?,General Query
725,Payment deducted but order not confirmed,Billing Issue
726,Website not loading on my laptop,Technical Problem
727,Why is my delivery date postponed?,Order Status
728,What is Flipkart Plus membership?,General Query
729,Why am I seeing wrong bill amount in my invoice?,Billing Issue
730,I cannot login with my mobile number,Technical Problem
731,Where is my mobile order? It is delayed,Order Status
732,How do I change my registered phone number?,General Query
733,Refund initiated but not reflecting in my bank account,Billing Issue
734,App shows error while placing order,Technical Problem
735,My tracking ID shows delivered but I did not get the package,Order Status
736,Do you offer gift wrapping service?,General Query
737,Payment deducted but order not confirmed,Billing Issue
738,I cannot login with my mobile number,Technical Problem
739,My tracking ID shows delivered but I did not get the package,Order Status
740,Do you deliver to small towns in Tamil Nadu?,General Query
741,Payment gateway error during checkout,Billing Issue
742,Unable to update my profile in the app,Technical Problem
743,Order stuck at warehouse for 3 days,Order Status
744,Is there any student discount available?,General Query
745,Refund not yet received for cancelled product,Billing Issue
746,I cannot login with my mobile number,Technical Problem
747,Delivery agent marked order delivered but I did not receive it,Order Status
748,Do you deliver to small towns in Tamil Nadu?,General Query
749,Payment deducted but order not confirmed,Billing Issue
750,Website stuck at payment page,Technical Problem
751,Order stuck at warehouse for 3 days,Order Status
752,How can I become a Flipkart Plus member?,General Query
753,Transaction failed but balance deducted from my account,Billing Issue
754,Website stuck at payment page,Technical Problem
755,Order stuck at warehouse for 3 days,Order Status
756,What are your customer care working hours?,General Query
757,Payment deducted but order not confirmed,Billing Issue
758,Login page keeps refreshing automatically,Technical Problem
759,Package is in transit for too long,Order Status
760,How can I become a Flipkart Plus member?,General Query
761,Transaction failed but balance deducted from my account,Billing Issue
762,Unable to update my profile in the app,Technical Problem
763,Estimated delivery keeps changing,Order Status
764,What are your customer care working hours?,General Query
765,I was charged twice for my order,Billing Issue
766,I cannot login with my mobile number,Technical Problem
767,My tracking ID shows delivered but I did not get the package,Order Status
768,Can I schedule delivery at a specific time?,General Query
769,Cashback not credited to my wallet,Billing Issue
770,OTP is not being received for login,Technical Problem
771,Estimated delivery keeps changing,Order Status
772,How can I become a Flipkart Plus member?,General Query
773,Why am I seeing wrong bill amount in my invoice?,Billing Issue
774,Cart is not updating when I add items,Technical Problem
775,Courier details are not updating,Order Status
776,Do you offer gift wrapping service?,General Query
777,I was charged twice for my order,Billing Issue
778,Website not loading on my laptop,Technical Problem
779,Package is in transit for too long,Order Status
780,Can I schedule delivery at a specific time?,General Query
781,Transaction failed but balance deducted from my account,Billing Issue
782,The Flipkart app crashes on checkout,Technical Problem
783,Delivery agent marked order delivered but I did not receive it,Order Status
784,Do you provide installation service for appliances?,General Query
785,I was charged twice for my order,Billing Issue
786,Cart is not updating when I add items,Technical Problem
787,When will my shoes be shipped?,Order Status
788,Do you provide installation service for appliances?,General Query
789,Refund not yet received for cancelled product,Billing Issue
790,The Flipkart app crashes on checkout,Technical Problem
791,Order stuck at warehouse for 3 days,Order Status
792,How can I become a Flipkart Plus member?,General Query
793,Refund not yet received for cancelled product,Billing Issue
794,Cart is not updating when I add items,Technical Problem
795,Why is my delivery date postponed?,Order Status
796,How do I change my registered phone number?,General Query
797,My EMI payment failed but money was debited,Billing Issue
798,Cart is not updating when I add items,Technical Problem
799,Delivery agent marked order delivered but I did not receive it,Order Status
800,How do I check my Flipkart SuperCoins balance?,General Query
801,Payment deducted but order not confirmed,Billing Issue
802,OTP is not being received for login,Technical Problem
803,Courier details are not updating,Order Status
804,What are your customer care working hours?,General Query
805,Why was extra delivery charge added?,Billing Issue
806,OTP is not being received for login,Technical Problem
807,Courier details are not updating,Order Status
808,Can I schedule delivery at a specific time?,General Query
809,Refund not yet received for cancelled product,Billing Issue
810,Website stuck at payment page,Technical Problem
811,Package is in transit for too long,Order Status
812,Do you provide installation service for appliances?,General Query
813,Cashback not credited to my wallet,Billing Issue
814,App shows error while placing order,Technical Problem
815,Delivery agent marked order delivered but I did not receive it,Order Status
816,Do you provide installation service for appliances?,General Query
817,Refund initiated but not reflecting in my bank account,Billing Issue
818,OTP is not being received for login,Technical Problem
819,How can I track my current order?,Order Status
820,Can I schedule delivery at a specific time?,General Query
821,Cashback not credited to my wallet,Billing Issue
822,App shows error while placing order,Technical Problem
823,Estimated delivery keeps changing,Order Status
824,What are your customer care working hours?,General Query
825,My EMI payment failed but money was debited,Billing Issue
826,I cannot login with my mobile number,Technical Problem
827,Package is in transit for too long,Order Status
828,Do you deliver to small towns in Tamil Nadu?,General Query
829,Why was extra delivery charge added?,Billing Issue
830,Website not loading on my laptop,Technical Problem
831,Delivery agent marked order delivered but I did not receive it,Order Status
832,Do you offer gift wrapping service?,General Query
833,Payment gateway error during checkout,Billing Issue
834,The Flipkart app crashes on checkout,Technical Problem
835,Where is my mobile order? It is delayed,Order Status
836,How do I check my Flipkart SuperCoins balance?,General Query
837,Why am I seeing wrong bill amount in my invoice?,Billing Issue
838,Unable to update my profile in the app,Technical Problem
839,How can I track my current order?,Order Status
840,Do you provide installation service for appliances?,General Query
841,Why am I seeing wrong bill amount in my invoice?,Billing Issue
842,Login page keeps refreshing automatically,Technical Problem
843,Order stuck at warehouse for 3 days,Order Status
844,What is Flipkart Plus membership?,General Query
845,Cashback not credited to my wallet,Billing Issue
846,Cart is not updating when I add items,Technical Problem
847,Why is my delivery date postponed?,Order Status
848,Do you provide installation service for appliances?,General Query
849,Why am I seeing wrong bill amount in my invoice?,Billing Issue
850,The Flipkart app crashes on checkout,Technical Problem
851,Courier details are not updating,Order Status
852,Do you provide installation service for appliances?,General Query
853,My EMI payment failed but money was debited,Billing Issue
854,Cart is not updating when I add items,Technical Problem
855,How can I track my current order?,Order Status
856,Is there any student discount available?,General Query
857,Payment deducted but order not confirmed,Billing Issue
858,Search function not working properly,Technical Problem
859,Estimated delivery keeps changing,Order Status
860,Is there any student discount available?,General Query
861,Refund initiated but not reflecting in my bank account,Billing Issue
862,Cart is not updating when I add items,Technical Problem
863,Delivery agent marked order delivered but I did not receive it,Order Status
864,Can I schedule delivery at a specific time?,General Query
865,Payment deducted but order not confirmed,Billing Issue
866,Website stuck at payment page,Technical Problem
867,How can I track my current order?,Order Status
868,Do you provide installation service for appliances?,General Query
869,I was charged twice for my order,Billing Issue
870,Search function not working properly,Technical Problem
871,Courier details are not updating,Order Status
872,Do you provide installation service for appliances?,General Query
873,Payment gateway error during checkout,Billing Issue
874,Website not loading on my laptop,Technical Problem
875,Why is my delivery date postponed?,Order Status
876,Do you provide installation service for appliances?,General Query
877,Payment deducted but order not confirmed,Billing Issue
878,Search function not working properly,Technical Problem
879,Package is in transit for too long,Order Status
880,Do you provide installation service for appliances?,General Query
881,Refund initiated but not reflecting in my bank account,Billing Issue
882,I cannot login with my mobile number,Technical Problem
883,Why is my delivery date postponed?,Order Status
884,Can I schedule delivery at a specific time?,General Query
885,Payment deducted but order not confirmed,Billing Issue
886,Website stuck at payment page,Technical Problem
887,Estimated delivery keeps changing,Order Status
888,Can I schedule delivery at a specific time?,General Query
889,Why am I seeing wrong bill amount in my invoice?,Billing Issue
890,Website not loading on my laptop,Technical Problem
891,Where is my mobile order? It is delayed,Order Status
892,Do you deliver to small towns in Tamil Nadu?,General Query
893,Why was extra delivery charge added?,Billing Issue
894,Unable to update my profile in the app,Technical Problem
895,How can I track my current order?,Order Status
896,Do you deliver to small towns in Tamil Nadu?,General Query
897,I was charged twice for my order,Billing Issue
898,Cart is not updating when I add items,Technical Problem
899,How can I track my current order?,Order Status
900,What is Flipkart Plus membership?,General Query
901,Why am I seeing wrong bill amount in my invoice?,Billing Issue
902,Search function not working properly,Technical Problem
903,How can I track my current order?,Order Status
904,Do you provide installation service for appliances?,General Query
905,My EMI payment failed but money was debited,Billing Issue
906,The Flipkart app crashes on checkout,Technical Problem
907,How can I track my current order?,Order Status
908,Do you deliver to small towns in Tamil Nadu?,General Query
909,Payment gateway error during checkout,Billing Issue
910,OTP is not being received for login,Technical Problem
911,Delivery agent marked order delivered but I did not receive it,Order Status
912,Can I schedule delivery at a specific time?,General Query
913,Why am I seeing wrong bill amount in my invoice?,Billing Issue
914,Search function not working properly,Technical Problem
915,My tracking ID shows delivered but I did not get the package,Order Status
916,What is Flipkart Plus membership?,General Query
917,Cashback not credited to my wallet,Billing Issue
918,OTP is not being received for login,Technical Problem
919,When will my shoes be shipped?,Order Status
920,How do I change my registered phone number?,General Query
921,Refund not yet received for cancelled product,Billing Issue
922,OTP is not being received for login,Technical Problem
923,Courier details are not updating,Order Status
924,What is Flipkart Plus membership?,General Query
925,My EMI payment failed but money was debited,Billing Issue
926,Cart is not updating when I add items,Technical Problem
927,My tracking ID shows delivered but I did not get the package,Order Status
928,How do I check my Flipkart SuperCoins balance?,General Query
929,Why am I seeing wrong bill amount in my invoice?,Billing Issue
930,OTP is not being received for login,Technical Problem
931,When will my shoes be shipped?,Order Status
932,Do you provide installation service for appliances?,General Query
933,My EMI payment failed but money was debited,Billing Issue
934,I cannot login with my mobile number,Technical Problem
935,Where is my mobile order? It is delayed,Order Status
936,Do you deliver to small towns in Tamil Nadu?,General Query
937,Why am I seeing wrong bill amount in my invoice?,Billing Issue
938,I cannot login with my mobile number,Technical Problem
939,My tracking ID shows delivered but I did not get the package,Order Status
940,Do you deliver to small towns in Tamil Nadu?,General Query
941,Why am I seeing wrong bill amount in my invoice?,Billing Issue
942,Search function not working properly,Technical Problem
943,Courier details are not updating,Order Status
944,Do you offer gift wrapping service?,General Query
945,Payment gateway error during checkout,Billing Issue
946,Cart is not updating when I add items,Technical Problem
947,Order stuck at warehouse for 3 days,Order Status
948,How can I become a Flipkart Plus member?,General Query
949,Transaction failed but balance deducted from my account,Billing Issue
950,Search function not working properly,Technical Problem
951,Package is in transit for too long,Order Status
952,Do you provide installation service for appliances?,General Query
953,Why was extra delivery charge added?,Billing Issue
954,App shows error while placing order,Technical Problem
955,Delivery agent marked order delivered but I did not receive it,Order Status
956,How can I become a Flipkart Plus member?,General Query
957,My EMI payment failed but money was debited,Billing Issue
958,OTP is not being received for login,Technical Problem
959,Why is my delivery date postponed?,Order Status
960,What are your customer care working hours?,General Query
961,Refund initiated but not reflecting in my bank account,Billing Issue
962,Login page keeps refreshing automatically,Technical Problem
963,Delivery agent marked order delivered but I did not receive it,Order Status
964,Can I schedule delivery at a specific time?,General Query
965,My EMI payment failed but money was debited,Billing Issue
966,Search function not working properly,Technical Problem
967,Where is my mobile order? It is delayed,Order Status
968,What are your customer care working hours?,General Query
969,Cashback not credited to my wallet,Billing Issue
970,App shows error while placing order,Technical Problem
971,Estimated delivery keeps changing,Order Status
972,Do you provide installation service for appliances?,General Query
973,Payment deducted but order not confirmed,Billing Issue
974,App shows error while placing order,Technical Problem
975,Why is my delivery date postponed?,Order Status
976,Is there any student discount available?,General Query
977,Payment gateway error during checkout,Billing Issue
978,The Flipkart app crashes on checkout,Technical Problem
979,Package is in transit for too long,Order Status
980,Do you deliver to small towns in Tamil Nadu?,General Query
981,Why am I seeing wrong bill amount in my invoice?,Billing Issue
982,Cart is not updating when I add items,Technical Problem
983,My tracking ID shows delivered but I did not get the package,Order Status
984,What are your customer care working hours?,General Query
985,Why am I seeing wrong bill amount in my invoice?,Billing Issue
986,Website not loading on my laptop,Technical Problem
987,Where is my mobile order? It is delayed,Order Status
988,How can I become a Flipkart Plus member?,General Query
989,I was charged twice for my order,Billing Issue
990,Website stuck at payment page,Technical Problem
991,My tracking ID shows delivered but I did not get the package,Order Status
992,How can I become a Flipkart Plus member?,General Query
993,Refund initiated but not reflecting in my bank account,Billing Issue
994,OTP is not being received for login,Technical Problem
995,When will my shoes be shipped?,Order Status
996,Can I schedule delivery at a specific time?,General Query
997,Refund initiated but not reflecting in my bank account,Billing Issue
998,OTP is not being received for login,Technical Problem
999,My tracking ID shows delivered but I did not get the package,Order Status
1000,Do you deliver to small towns in Tamil Nadu?,General Query
1001,Cashback not applied to my wallet,Billing Issue
1002,App crashes whenever I try to add product to cart,Technical Problem
1003,Delivery person cancelled delivery without calling,Order Status
1004,Is installation free for appliances?,General Query
1005,Payment deducted but not showing in order history,Billing Issue
1006,Search bar not returning correct results,Technical Problem
1007,When will my laptop be delivered?,Order Status
1008,What are your customer support working hours?,General Query
1009,Payment deducted but not showing in order history,Billing Issue
1010,App crashes whenever I try to add product to cart,Technical Problem
1011,Delivery person cancelled delivery without calling,Order Status
1012,Do you have a return pickup service in my area?,General Query
1013,Refund initiated but not visible in my bank account,Billing Issue
1014,Product images not loading properly,Technical Problem
1015,When will my laptop be delivered?,Order Status
1016,Do you have international delivery service?,General Query
1017,Wrong bill generated for my purchase,Billing Issue
1018,Unable to update my address on the website,Technical Problem
1019,Courier partner is not responding,Order Status
1020,What are your customer support working hours?,General Query
1021,Wrong bill generated for my purchase,Billing Issue
1022,Unable to login with correct password,Technical Problem
1023,When will my laptop be delivered?,Order Status
1024,Do you have a return pickup service in my area?,General Query
1025,Transaction failed but amount deducted,Billing Issue
1026,Technical error while adding payment method,Technical Problem
1027,Delivery person cancelled delivery without calling,Order Status
1028,What are your customer support working hours?,General Query
1029,Payment deducted but not showing in order history,Billing Issue
1030,Product images not loading properly,Technical Problem
1031,Tracking ID is not updating,Order Status
1032,Do you have a return pickup service in my area?,General Query
1033,I was billed twice for the same product,Billing Issue
1034,App freezing during checkout process,Technical Problem
1035,Order delayed without any reason,Order Status
1036,Can I change my delivery address after placing order?,General Query
1037,Unable to use my coupon for discount,Billing Issue
1038,Website not working on my browser,Technical Problem
1039,Delivery person cancelled delivery without calling,Order Status
1040,How to redeem Flipkart SuperCoins?,General Query
1041,Why am I charged for delivery when it was free earlier?,Billing Issue
1042,Technical error while adding payment method,Technical Problem
1043,Order shows delivered but I have not received it,Order Status
1044,Do you offer gift wrapping services?,General Query
1045,Refund initiated but not visible in my bank account,Billing Issue
1046,App crashes whenever I try to add product to cart,Technical Problem
1047,Delivery date changed without notice,Order Status
1048,Do you offer gift wrapping services?,General Query
1049,Payment deducted but not showing in order history,Billing Issue
1050,Unable to login with correct password,Technical Problem
1051,When will my laptop be delivered?,Order Status
1052,Do you have a return pickup service in my area?,General Query
1053,Extra delivery fee charged unexpectedly,Billing Issue
1054,Unable to update my address on the website,Technical Problem
1055,Tracking ID is not updating,Order Status
1056,Do you offer gift wrapping services?,General Query
1057,Extra delivery fee charged unexpectedly,Billing Issue
1058,Unable to update my address on the website,Technical Problem
1059,Courier partner is not responding,Order Status
1060,What are your customer support working hours?,General Query
1061,Payment deducted but not showing in order history,Billing Issue
1062,Unable to update my address on the website,Technical Problem
1063,Order delayed without any reason,Order Status
1064,Do you have a return pickup service in my area?,General Query
1065,Refund initiated but not visible in my bank account,Billing Issue
1066,Unable to login with correct password,Technical Problem
1067,Order shows delivered but I have not received it,Order Status
1068,How to join Flipkart Plus?,General Query
1069,Wrong bill generated for my purchase,Billing Issue
1070,Unable to update my address on the website,Technical Problem
1071,Package is taking longer than expected,Order Status
1072,How do I update my registered phone number?,General Query
1073,Unable to use my coupon for discount,Billing Issue
1074,Search bar not returning correct results,Technical Problem
1075,Delivery date changed without notice,Order Status
1076,Do you have a return pickup service in my area?,General Query
1077,Payment deducted but not showing in order history,Billing Issue
1078,Search bar not returning correct results,Technical Problem
1079,Package is taking longer than expected,Order Status
1080,Is there any membership discount for students?,General Query
1081,Wrong bill generated for my purchase,Billing Issue
1082,Error code displayed while applying promo code,Technical Problem
1083,When will my laptop be delivered?,Order Status
1084,Is there any membership discount for students?,General Query
1085,Transaction failed but amount deducted,Billing Issue
1086,Error code displayed while applying promo code,Technical Problem
1087,When will my laptop be delivered?,Order Status
1088,Is installation free for appliances?,General Query
1089,Cashback not applied to my wallet,Billing Issue
1090,Payment page keeps loading infinitely,Technical Problem
1091,Order delayed without any reason,Order Status
1092,Can I change my delivery address after placing order?,General Query
1093,Extra delivery fee charged unexpectedly,Billing Issue
1094,Error code displayed while applying promo code,Technical Problem
1095,Courier partner is not responding,Order Status
1096,How to join Flipkart Plus?,General Query
1097,Transaction failed but amount deducted,Billing Issue
1098,App crashes whenever I try to add product to cart,Technical Problem
1099,Order delayed without any reason,Order Status
1100,What are your customer support working hours?,General Query
1101,Refund is still not processed after cancellation,Billing Issue
1102,App freezing during checkout process,Technical Problem
1103,Package is taking longer than expected,Order Status
1104,Can I change my delivery address after placing order?,General Query
1105,Payment deducted but not showing in order history,Billing Issue
1106,Product images not loading properly,Technical Problem
1107,Delivery person cancelled delivery without calling,Order Status
1108,Is installation free for appliances?,General Query
1109,Wrong bill generated for my purchase,Billing Issue
1110,Technical error while adding payment method,Technical Problem
1111,Order status not updated since last week,Order Status
1112,Do you offer gift wrapping services?,General Query
1113,Transaction failed but amount deducted,Billing Issue
1114,Unable to update my address on the website,Technical Problem
1115,When will my laptop be delivered?,Order Status
1116,Is installation free for appliances?,General Query
1117,Refund is still not processed after cancellation,Billing Issue
1118,Error code displayed while applying promo code,Technical Problem
1119,Delivery person cancelled delivery without calling,Order Status
1120,Do you have international delivery service?,General Query
1121,Payment deducted but not showing in order history,Billing Issue
1122,Search bar not returning correct results,Technical Problem
1123,Delivery person cancelled delivery without calling,Order Status
1124,What are your customer support working hours?,General Query
1125,Wrong bill generated for my purchase,Billing Issue
1126,Technical error while adding payment method,Technical Problem
1127,Delivery date changed without notice,Order Status
1128,Is installation free for appliances?,General Query
1129,Unable to use my coupon for discount,Billing Issue
1130,Error code displayed while applying promo code,Technical Problem
1131,Delivery person cancelled delivery without calling,Order Status
1132,Do you have a return pickup service in my area?,General Query
1133,Cashback not applied to my wallet,Billing Issue
1134,Error code displayed while applying promo code,Technical Problem
1135,Shipment stuck at warehouse,Order Status
1136,Do you offer gift wrapping services?,General Query
1137,Unable to use my coupon for discount,Billing Issue
1138,Error code displayed while applying promo code,Technical Problem
1139,Package is taking longer than expected,Order Status
1140,Is there any membership discount for students?,General Query
1141,Cashback not applied to my wallet,Billing Issue
1142,Unable to update my address on the website,Technical Problem
1143,Order status not updated since last week,Order Status
1144,Is there any membership discount for students?,General Query
1145,Extra delivery fee charged unexpectedly,Billing Issue
1146,Error code displayed while applying promo code,Technical Problem
1147,When will my laptop be delivered?,Order Status
1148,Is installation free for appliances?,General Query
1149,Cashback not applied to my wallet,Billing Issue
1150,App crashes whenever I try to add product to cart,Technical Problem
1151,Tracking ID is not updating,Order Status
1152,Is installation free for appliances?,General Query
1153,Payment deducted but not showing in order history,Billing Issue
1154,Product images not loading properly,Technical Problem
1155,Courier partner is not responding,Order Status
1156,How do I update my registered phone number?,General Query
1157,Payment deducted but not showing in order history,Billing Issue
1158,Unable to login with correct password,Technical Problem
1159,Order shows delivered but I have not received it,Order Status
1160,Can I change my delivery address after placing order?,General Query
1161,Transaction failed but amount deducted,Billing Issue
1162,App freezing during checkout process,Technical Problem
1163,Order delayed without any reason,Order Status
1164,How to redeem Flipkart SuperCoins?,General Query
1165,Extra delivery fee charged unexpectedly,Billing Issue
1166,Search bar not returning correct results,Technical Problem
1167,Order shows delivered but I have not received it,Order Status
1168,What are your customer support working hours?,General Query
1169,Why am I charged for delivery when it was free earlier?,Billing Issue
1170,Unable to update my address on the website,Technical Problem
1171,Delivery person cancelled delivery without calling,Order Status
1172,Is there any membership discount for students?,General Query
1173,Unable to use my coupon for discount,Billing Issue
1174,Website not working on my browser,Technical Problem
1175,Order status not updated since last week,Order Status
1176,Do you offer gift wrapping services?,General Query
1177,Refund is still not processed after cancellation,Billing Issue
1178,Technical error while adding payment method,Technical Problem
1179,Order status not updated since last week,Order Status
1180,Is installation free for appliances?,General Query
1181,Why am I charged for delivery when it was free earlier?,Billing Issue
1182,Unable to login with correct password,Technical Problem
1183,Order delayed without any reason,Order Status
1184,Can I change my delivery address after placing order?,General Query
1185,Transaction failed but amount deducted,Billing Issue
1186,Website not working on my browser,Technical Problem
1187,Delivery date changed without notice,Order Status
1188,Is there any membership discount for students?,General Query
1189,Why am I charged for delivery when it was free earlier?,Billing Issue
1190,Error code displayed while applying promo code,Technical Problem
1191,When will my laptop be delivered?,Order Status
1192,How do I update my registered phone number?,General Query
1193,Payment deducted but not showing in order history,Billing Issue
1194,Unable to update my address on the website,Technical Problem
1195,Courier partner is not responding,Order Status
1196,Do you have international delivery service?,General Query
1197,Why am I charged for delivery when it was free earlier?,Billing Issue
1198,Payment page keeps loading infinitely,Technical Problem
1199,Delivery person cancelled delivery without calling,Order Status
1200,Is installation free for appliances?,General Query
1201,Unable to use my coupon for discount,Billing Issue
1202,Product images not loading properly,Technical Problem
1203,Order shows delivered but I have not received it,Order Status
1204,Is there any membership discount for students?,General Query
1205,I was billed twice for the same product,Billing Issue
1206,Payment page keeps loading infinitely,Technical Problem
1207,When will my laptop be delivered?,Order Status
1208,How do I update my registered phone number?,General Query
1209,Unable to use my coupon for discount,Billing Issue
1210,Website not working on my browser,Technical Problem
1211,Shipment stuck at warehouse,Order Status
1212,Do you offer gift wrapping services?,General Query
1213,Extra delivery fee charged unexpectedly,Billing Issue
1214,App crashes whenever I try to add product to cart,Technical Problem
1215,Shipment stuck at warehouse,Order Status
1216,Do you offer gift wrapping services?,General Query
1217,Payment deducted but not showing in order history,Billing Issue
1218,Payment page keeps loading infinitely,Technical Problem
1219,When will my laptop be delivered?,Order Status
1220,What are your customer support working hours?,General Query
1221,Payment deducted but not showing in order history,Billing Issue
1222,Website not working on my browser,Technical Problem
1223,Order status not updated since last week,Order Status
1224,Do you have international delivery service?,General Query
1225,I was billed twice for the same product,Billing Issue
1226,Product images not loading properly,Technical Problem
1227,Tracking ID is not updating,Order Status
1228,Do you have international delivery service?,General Query
1229,I was billed twice for the same product,Billing Issue
1230,Error code displayed while applying promo code,Technical Problem
1231,Tracking ID is not updating,Order Status
1232,Can I change my delivery address after placing order?,General Query
1233,Refund is still not processed after cancellation,Billing Issue
1234,Unable to login with correct password,Technical Problem
1235,Order status not updated since last week,Order Status
1236,Can I change my delivery address after placing order?,General Query
1237,Refund initiated but not visible in my bank account,Billing Issue
1238,App crashes whenever I try to add product to cart,Technical Problem
1239,Delivery date changed without notice,Order Status
1240,Is installation free for appliances?,General Query
1241,Extra delivery fee charged unexpectedly,Billing Issue
1242,Product images not loading properly,Technical Problem
1243,Order status not updated since last week,Order Status
1244,Can I change my delivery address after placing order?,General Query
1245,Transaction failed but amount deducted,Billing Issue
1246,Search bar not returning correct results,Technical Problem
1247,Shipment stuck at warehouse,Order Status
1248,How to join Flipkart Plus?,General Query
1249,Cashback not applied to my wallet,Billing Issue
1250,Product images not loading properly,Technical Problem
1251,Order shows delivered but I have not received it,Order Status
1252,How to join Flipkart Plus?,General Query
1253,Refund is still not processed after cancellation,Billing Issue
1254,Product images not loading properly,Technical Problem
1255,Delivery date changed without notice,Order Status
1256,How to redeem Flipkart SuperCoins?,General Query
1257,Transaction failed but amount deducted,Billing Issue
1258,App crashes whenever I try to add product to cart,Technical Problem
1259,Delivery date changed without notice,Order Status
1260,How to redeem Flipkart SuperCoins?,General Query
1261,Unable to use my coupon for discount,Billing Issue
1262,Product images not loading properly,Technical Problem
1263,Order delayed without any reason,Order Status
1264,How to redeem Flipkart SuperCoins?,General Query
1265,Transaction failed but amount deducted,Billing Issue
1266,Error code displayed while applying promo code,Technical Problem
1267,Delivery person cancelled delivery without calling,Order Status
1268,What are your customer support working hours?,General Query
1269,Extra delivery fee charged unexpectedly,Billing Issue
1270,Error code displayed while applying promo code,Technical Problem
1271,When will my laptop be delivered?,Order Status
1272,How do I update my registered phone number?,General Query
1273,Extra delivery fee charged unexpectedly,Billing Issue
1274,Error code displayed while applying promo code,Technical Problem
1275,Order delayed without any reason,Order Status
1276,Do you have international delivery service?,General Query
1277,Extra delivery fee charged unexpectedly,Billing Issue
1278,Payment page keeps loading infinitely,Technical Problem
1279,Order delayed without any reason,Order Status
1280,How do I update my registered phone number?,General Query
1281,Transaction failed but amount deducted,Billing Issue
1282,Website not working on my browser,Technical Problem
1283,Order delayed without any reason,Order Status
1284,Do you offer gift wrapping services?,General Query
1285,Transaction failed but amount deducted,Billing Issue
1286,App crashes whenever I try to add product to cart,Technical Problem
1287,Order shows delivered but I have not received it,Order Status
1288,How to redeem Flipkart SuperCoins?,General Query
1289,Transaction failed but amount deducted,Billing Issue
1290,Product images not loading properly,Technical Problem
1291,Order shows delivered but I have not received it,Order Status
1292,How to join Flipkart Plus?,General Query
1293,I was billed twice for the same product,Billing Issue
1294,App freezing during checkout process,Technical Problem
1295,Order shows delivered but I have not received it,Order Status
1296,Is there any membership discount for students?,General Query
1297,Refund is still not processed after cancellation,Billing Issue
1298,App crashes whenever I try to add product to cart,Technical Problem
1299,When will my laptop be delivered?,Order Status
1300,Do you have international delivery service?,General Query
1301,Unable to use my coupon for discount,Billing Issue
1302,Technical error while adding payment method,Technical Problem
1303,Delivery person cancelled delivery without calling,Order Status
1304,How do I update my registered phone number?,General Query
1305,Transaction failed but amount deducted,Billing Issue
1306,Unable to login with correct password,Technical Problem
1307,Package is taking longer than expected,Order Status
